"","X","year","town","flat_type","block","street_name","floor_area_sqm","flat_model","avg_resale_price","blk_street_name","latitude","longitude"
"1",1,2019,"ANG MO KIO","2 ROOM","116","ANG MO KIO AVE 4",44,"Improved",187000,"116%20ANG%20MO%20KIO%20AVE%204","1.3733463501491299","103.83645934809999"
"2",2,2019,"ANG MO KIO","2 ROOM","170","ANG MO KIO AVE 4",45,"Improved",220000,"170%20ANG%20MO%20KIO%20AVE%204","1.37400071781295","103.83643153142"
"3",3,2019,"ANG MO KIO","2 ROOM","172","ANG MO KIO AVE 4",45,"Improved",187000,"172%20ANG%20MO%20KIO%20AVE%204","1.37477684251468","103.836707903222"
"4",4,2019,"ANG MO KIO","2 ROOM","174","ANG MO KIO AVE 4",45,"Improved",197500,"174%20ANG%20MO%20KIO%20AVE%204","1.37509746867904","103.83761896123"
"5",5,2019,"ANG MO KIO","2 ROOM","314","ANG MO KIO AVE 3",44,"Improved",186000,"314%20ANG%20MO%20KIO%20AVE%203","1.3662270712063798","103.85008585898301"
"6",6,2019,"ANG MO KIO","2 ROOM","323","ANG MO KIO AVE 3",44,"Improved",187500,"323%20ANG%20MO%20KIO%20AVE%203","1.36754152104891","103.847809207008"
"7",7,2019,"ANG MO KIO","2 ROOM","406","ANG MO KIO AVE 10",44,"Improved",223000,"406%20ANG%20MO%20KIO%20AVE%2010","1.3620045393871498","103.853879910407"
"8",8,2019,"ANG MO KIO","2 ROOM","508","ANG MO KIO AVE 8",44,"Improved",203000,"508%20ANG%20MO%20KIO%20AVE%208","1.3737900820123001","103.849028999189"
"9",9,2019,"ANG MO KIO","2 ROOM","510","ANG MO KIO AVE 8",44,"Improved",188000,"510%20ANG%20MO%20KIO%20AVE%208","1.37340092645027","103.849073244454"
"10",10,2019,"ANG MO KIO","3 ROOM","103","ANG MO KIO AVE 3",74,"New Generation",320000,"103%20ANG%20MO%20KIO%20AVE%203","1.3710165780460701","103.839304839187"
"11",11,2019,"ANG MO KIO","3 ROOM","103","ANG MO KIO AVE 3",89,"New Generation",315000,"103%20ANG%20MO%20KIO%20AVE%203","1.3710165780460701","103.839304839187"
"12",12,2019,"ANG MO KIO","3 ROOM","106","ANG MO KIO AVE 4",74,"New Generation",276500,"106%20ANG%20MO%20KIO%20AVE%204","1.3719337032349","103.83748606185101"
"13",13,2019,"ANG MO KIO","3 ROOM","107","ANG MO KIO AVE 4",74,"New Generation",283500,"107%20ANG%20MO%20KIO%20AVE%204","1.37138400081004","103.837381409794"
"14",14,2019,"ANG MO KIO","3 ROOM","108","ANG MO KIO AVE 4",67,"New Generation",278000,"108%20ANG%20MO%20KIO%20AVE%204","1.3709663522262499","103.838201940326"
"15",15,2019,"ANG MO KIO","3 ROOM","109","ANG MO KIO AVE 4",67,"New Generation",232000,"109%20ANG%20MO%20KIO%20AVE%204","1.37009653758342","103.837687766047"
"16",16,2019,"ANG MO KIO","3 ROOM","109","ANG MO KIO AVE 4",82,"New Generation",370000,"109%20ANG%20MO%20KIO%20AVE%204","1.37009653758342","103.837687766047"
"17",17,2019,"ANG MO KIO","3 ROOM","110","ANG MO KIO AVE 4",67,"New Generation",262500,"110%20ANG%20MO%20KIO%20AVE%204","1.3704593701089098","103.837419259859"
"18",18,2019,"ANG MO KIO","3 ROOM","112","ANG MO KIO AVE 4",74,"New Generation",268888,"112%20ANG%20MO%20KIO%20AVE%204","1.3712786514552098","103.83576656574101"
"19",19,2019,"ANG MO KIO","3 ROOM","114","ANG MO KIO AVE 4",74,"New Generation",280000,"114%20ANG%20MO%20KIO%20AVE%204","1.37257962452706","103.836220813247"
"20",20,2019,"ANG MO KIO","3 ROOM","114","ANG MO KIO AVE 4",89,"New Generation",360000,"114%20ANG%20MO%20KIO%20AVE%204","1.37257962452706","103.836220813247"
"21",21,2019,"ANG MO KIO","3 ROOM","117","ANG MO KIO AVE 4",74,"New Generation",280000,"117%20ANG%20MO%20KIO%20AVE%204","1.3737170825368101","103.835610469339"
"22",22,2019,"ANG MO KIO","3 ROOM","118","ANG MO KIO AVE 4",74,"New Generation",275000,"118%20ANG%20MO%20KIO%20AVE%204","1.37329593649656","103.83547571913401"
"23",23,2019,"ANG MO KIO","3 ROOM","119","ANG MO KIO AVE 3",67,"New Generation",277142.857142857,"119%20ANG%20MO%20KIO%20AVE%203","1.3695634430191397","103.84469891081699"
"24",24,2019,"ANG MO KIO","3 ROOM","120","ANG MO KIO AVE 3",67,"New Generation",222000,"120%20ANG%20MO%20KIO%20AVE%203","1.37004739686134","103.844594754874"
"25",25,2019,"ANG MO KIO","3 ROOM","121","ANG MO KIO AVE 3",67,"New Generation",254750,"121%20ANG%20MO%20KIO%20AVE%203","1.3697056347832701","103.843515981311"
"26",26,2019,"ANG MO KIO","3 ROOM","121","ANG MO KIO AVE 3",82,"New Generation",328000,"121%20ANG%20MO%20KIO%20AVE%203","1.3697056347832701","103.843515981311"
"27",27,2019,"ANG MO KIO","3 ROOM","122","ANG MO KIO AVE 3",67,"New Generation",253333.333333333,"122%20ANG%20MO%20KIO%20AVE%203","1.37018860668948","103.843413231524"
